Stop Name,Latitude,Longitude,Num trips in stop,Boothcode,Routes with num trips
Eshwara Layout,12.89145603,77.57562697,23,29175010,{'215-E': 23}
Ganapathipura,12.89326732,77.57190272,125,29175010,"{'215-F': 34, 'KTN-SBS': 1, '210-B': 16, '215-U': 8, 'BSK-D34G': 20, '215-J': 20, '215-R': 12, 'KMT-KKC-JSD': 4, 'JSD-KKC-KMT': 4, 'KBS-BSK-KTN-JSD': 3, '210-B KBS-KMT-CCG': 3}"
Jaraganahalli Cross,12.90156673,77.57328574,1623,29175010,"{'KBS-KMS': 3, 'VSD-AGR': 1, 'KMT-AGR': 1, 'KBS-AGR': 2, 'BEML B-4': 2, '211-L': 1, '212-M': 13, 'FDR-9': 0, 'BSK-ANP': 1, 'PHS-3': 17, '215-T': 16, '216-B': 12, '215-X': 15, 'KBS-DSCU': 2, 'JBN-DSCU': 1, 'SGH-ABL': 2, 'SGH-UTH': 3, '213-C': 12, 'PPLO-KRM1': 2, 'BSK-BCCL': 1, 'BSK-TRL': 1, '306-B': 8, 'CS-KNKT-D03': 1, 'BSK-SMP': 1, '285-P': 13, '213-P': 8, '215-F': 34, 'KTN-SBS': 1, '211-D': 16, '211-T': 10, '213-A': 4, '211-A': 8, '214-C': 5, '215-B': 34, '215-Z': 20, '211-K': 12, 'KBS-MKD': 2, 'MKD-KBS': 2, '215-K': 56, 'KBS-BCMC': 2, '213-R': 10, '240-F': 13, '211-U': 11, 'D34G-BSK': 7, '213-J': 7, '215-NB': 12, '213-Q': 5, 'BSK-MTRP': 1, 'BSK-RGL': 8, 'KBS-GAT': 8, '211-G': 9, '211-RA': 5, '214-G': 22, '215-N': 25, 'KBS-5H': 24, 'MKT-5H': 24, '213-DA': 7, '213-DB': 7, '217-D': 14, 'BSK-JFM': 4, 'TGPB-HBL': 2, '210-C': 16, 'KMT-GAT': 3, '215-Y': 14, 'GAT-SBS': 3, 'KBS-KNBC': 2, '287-M': 7, '210-B': 16, '213-QA': 8, '214-H': 15, 'BSK-BGTC': 2, '215-U': 8, 'BSK-GDPL': 1, '214-D KMT-TRLE': 8, '215-W': 14, '217-E': 10, '211-DA': 7, '211-R': 10, 'BSK-AGR': 2, 'SNBS-TTG': 2, 'BSK-MKD': 1, 'SNBS-MKD': 1, 'ABLO-KBS': 2, 'BSK-ABL': 10, '213-F': 8, '213-M': 8, 'KBS-BLO': 3, '224-E': 9, 'BSK-AMR': 8, '214-B': 10, 'KBC-GKVK': 2, '245-C': 10, 'BSK-VLS': 4, '214-D': 15, 'BSK-TTG': 2, '245-DA': 6, '211-J': 6, '215-A': 32, 'KBS-BWSR': 1, 'KMT-VDH': 3, 'BSK-MNN': 3, 'KMT-GATM': 2, '211-H': 11, 'KDYL-KBS': 1, '212-B': 7, '213-FA': 9, 'KBS-AVL': 6, '255-C YTTMC-PLH': 1, 'BSK-D34G': 20, 'KMT-BSK-KTNR': 0, '213-D': 6, '214-L': 6, '378-C': 16, '211-B': 12, '212-C': 12, '210-V': 19, 'JLOT-KMT': 2, 'KMT-BSK-KKC-D34G': 0, '215-J': 20, '215-BA': 16, 'ANJP-ITPL': 1, 'D34G -KKC-BSK': 2, 'KBS-HRH-BNGP': 5, '215-R': 12, '219-A GR College': 5, '219-A': 9, 'KBS-BTKL': 2, '211 BSK-AVS': 1, '213-N': 10, '212-D': 11, 'NICE-2': 7, 'KMT-KKC-JSD': 4, 'JSD-KKC-KMT': 4, '201 GBV-BSK': 1, 'ELC-SMPBS': 2, 'BSK-GUBMG': 2, 'GBLG-ITPL': 1, 'VLS-KBS': 2, '215-BB': 20, '213-K': 17, '213-H': 9, '216-A': 10, '213-E': 6, '213-L': 10, 'GPO-GAT': 2, '213-T': 9, 'MF-10': 14, 'MF-10A': 1, 'D34-JSD-KMT': 2, 'BSKTTMC-ANP': 13, 'SPBS-ITPL': 2, 'KBS-SPBS': 1, '214-J': 8, '215-AB': 28, 'KBS-BSK-KTN-JSD': 3, 'KKC-BSK-JBN': 2, '214-E': 20, '215NC': 19, 'SGH-ANP10': 3, '213-W': 7, 'D44G-KKC-KMT': 7, 'D44G-KBS': 6, 'BSK-KKC-ANJP10': 10, 'KBS-D44G': 11, 'KMT-BSK-D44G': 12, 'V-D13-JSD': 2, 'MF-22': 17, 'BSKTTMC-VLS': 1, '214-DA': 12, 'VLS-BSK-KBS': 2, 'BSK-NGA': 1, '410-E': 7, 'MF-21': 36, '211-AA': 20, 'NICE-2A': 4, 'V-215N': 1, '211-M': 6, '211-M BSK-HNLD': 1, '211-N': 12, '211-N BSK-BDD': 2, 'V-BSK-TLGS': 1, 'V-JSD-BSK': 2, 'AS-14': 18, '210-B KBS-KMT-CCG': 3, '213-V': 2, '378-AB': 4, '213 KMT-VETS': 1, '215K-BSK-VETS': 1, 'TGPS-ITPL': 2, 'PLO-VLS': 1, 'NGS-BSK-VLS': 1, '211-Q': 8, 'BEMLB-6': 2, 'BSK-HRH': 7, 'BSK-KGP': 5, '211-E': 11, 'HAL-D06G': 3, '223-A': 12, '211-C': 19, 'BSK-VDH': 2, 'BELGS-8': 2, 'BSK-TGP': 1, '285-B': 26, '212-F': 2, '9998': 0}"
Puttenahallipalya,12.89563317,77.58183449,242,29175010,"{'V-215H': 14, '215-W': 14, '215-MB': 13, '215-CA': 29, '215-HA': 13, 'KBS-CAK': 2, '215-CC': 11, '215-H': 56, 'D-13-JSD': 1, 'KBS-JSD-ANP10B': 3, 'CKMBS-JSD': 2, 'K-6': 41, '215-CA JNMS-ANP10': 2, 'D34-JNMS': 2, 'KIAS-5A': 8, 'ANJP10B-JSD-KBS': 2}"
Yelachenahalli,12.89760334,77.57147635,1615,29175010,"{'KBS-KMS': 3, 'VSD-AGR': 1, 'KMT-AGR': 1, 'KBS-AGR': 2, 'BEML B-4': 2, '211-L': 1, '212-M': 13, 'FDR-9': 0, 'BSK-ANP': 1, 'PHS-3': 17, '215-T': 16, '216-B': 12, '215-X': 15, 'KBS-DSCU': 2, 'JBN-DSCU': 1, 'SGH-ABL': 2, 'SGH-UTH': 3, '213-C': 12, 'PPLO-KRM1': 2, 'BSK-BCCL': 1, 'BSK-TRL': 1, '306-B': 8, 'CS-KNKT-D03': 1, 'BSK-SMP': 1, '285-P': 13, '213-P': 8, '215-F': 34, 'KTN-SBS': 1, '211-D': 16, '211-T': 10, '213-A': 4, '211-A': 8, '214-C': 5, '215-B': 34, '215-Z': 20, '211-K': 12, 'KBS-MKD': 2, 'MKD-KBS': 2, '215-K': 56, 'KBS-BCMC': 2, '213-R': 10, '240-F': 13, '211-U': 11, 'D34G-BSK': 7, '213-J': 7, '215-NB': 12, '213-Q': 5, 'BSK-MTRP': 1, 'BSK-RGL': 8, 'KBS-GAT': 8, '211-G': 9, '211-RA': 5, '214-G': 22, '215-N': 25, 'KBS-5H': 24, 'MKT-5H': 24, '213-DA': 7, '213-DB': 7, '217-D': 14, 'BSK-JFM': 4, 'TGPB-HBL': 2, '210-C': 16, 'KMT-GAT': 3, '215-Y': 14, 'GAT-SBS': 3, 'KBS-KNBC': 2, '287-M': 7, '210-B': 16, '213-QA': 8, '214-H': 15, 'BSK-BGTC': 2, 'BSK-GDPL': 1, '214-D KMT-TRLE': 8, '215-W': 14, '217-E': 10, '211-DA': 7, '211-R': 10, 'BSK-AGR': 2, 'SNBS-TTG': 2, 'BSK-MKD': 1, 'SNBS-MKD': 1, 'ABLO-KBS': 2, 'BSK-ABL': 10, '213-F': 8, '213-M': 8, 'KBS-BLO': 3, '224-E': 9, 'BSK-AMR': 8, '214-B': 10, 'KBC-GKVK': 2, '245-C': 10, 'BSK-VLS': 4, '214-D': 15, 'BSK-TTG': 2, '245-DA': 6, '211-J': 6, '215-A': 32, 'KBS-BWSR': 1, 'KMT-VDH': 3, 'BSK-MNN': 3, 'KMT-GATM': 2, '211-H': 11, 'KDYL-KBS': 1, '212-B': 7, '213-FA': 9, 'KBS-AVL': 6, '255-C YTTMC-PLH': 1, 'BSK-D34G': 20, 'KMT-BSK-KTNR': 0, '213-D': 6, '214-L': 6, '378-C': 16, '211-B': 12, '212-C': 12, '210-V': 19, 'JLOT-KMT': 2, 'KMT-BSK-KKC-D34G': 0, '215-J': 20, '215-BA': 16, 'ANJP-ITPL': 1, 'D34G -KKC-BSK': 2, 'KBS-HRH-BNGP': 5, '215-R': 12, '219-A GR College': 5, '219-A': 9, 'KBS-BTKL': 2, '211 BSK-AVS': 1, '213-N': 10, '212-D': 11, 'NICE-2': 7, 'KMT-KKC-JSD': 4, 'JSD-KKC-KMT': 4, '201 GBV-BSK': 1, 'ELC-SMPBS': 2, 'BSK-GUBMG': 2, 'GBLG-ITPL': 1, 'VLS-KBS': 2, '215-BB': 20, '213-K': 17, '213-H': 9, '216-A': 10, '213-E': 6, '213-L': 10, 'GPO-GAT': 2, '213-T': 9, 'MF-10': 14, 'MF-10A': 1, 'D34-JSD-KMT': 2, 'BSKTTMC-ANP': 13, 'SPBS-ITPL': 2, 'KBS-SPBS': 1, '214-J': 8, '215-AB': 28, 'KBS-BSK-KTN-JSD': 3, 'KKC-BSK-JBN': 2, '214-E': 20, '215NC': 19, 'SGH-ANP10': 3, '213-W': 7, 'D44G-KKC-KMT': 7, 'D44G-KBS': 6, 'BSK-KKC-ANJP10': 10, 'KBS-D44G': 11, 'KMT-BSK-D44G': 12, 'V-D13-JSD': 2, 'MF-22': 17, 'BSKTTMC-VLS': 1, '214-DA': 12, 'VLS-BSK-KBS': 2, 'BSK-NGA': 1, '410-E': 7, 'MF-21': 36, '211-AA': 20, 'NICE-2A': 4, 'V-215N': 1, '211-M': 6, '211-M BSK-HNLD': 1, '211-N': 12, '211-N BSK-BDD': 2, 'V-BSK-TLGS': 1, 'V-JSD-BSK': 2, 'AS-14': 18, '210-B KBS-KMT-CCG': 3, '213-V': 2, '378-AB': 4, '213 KMT-VETS': 1, '215K-BSK-VETS': 1, 'TGPS-ITPL': 2, 'PLO-VLS': 1, 'NGS-BSK-VLS': 1, '211-Q': 8, 'BEMLB-6': 2, 'BSK-HRH': 7, 'BSK-KGP': 5, '211-E': 11, 'HAL-D06G': 3, '223-A': 12, '211-C': 19, 'BSK-VDH': 2, 'BELGS-8': 2, 'BSK-TGP': 1, '285-B': 26, '212-F': 2, '9998': 0}"
Eshwara Layout,12.89145603,77.57562697,23,29175011,{'215-E': 23}
Ganapathipura,12.89326732,77.57190272,125,29175011,"{'215-F': 34, 'KTN-SBS': 1, '210-B': 16, '215-U': 8, 'BSK-D34G': 20, '215-J': 20, '215-R': 12, 'KMT-KKC-JSD': 4, 'JSD-KKC-KMT': 4, 'KBS-BSK-KTN-JSD': 3, '210-B KBS-KMT-CCG': 3}"
Jaraganahalli Cross,12.90156673,77.57328574,1623,29175011,"{'KBS-KMS': 3, 'VSD-AGR': 1, 'KMT-AGR': 1, 'KBS-AGR': 2, 'BEML B-4': 2, '211-L': 1, '212-M': 13, 'FDR-9': 0, 'BSK-ANP': 1, 'PHS-3': 17, '215-T': 16, '216-B': 12, '215-X': 15, 'KBS-DSCU': 2, 'JBN-DSCU': 1, 'SGH-ABL': 2, 'SGH-UTH': 3, '213-C': 12, 'PPLO-KRM1': 2, 'BSK-BCCL': 1, 'BSK-TRL': 1, '306-B': 8, 'CS-KNKT-D03': 1, 'BSK-SMP': 1, '285-P': 13, '213-P': 8, '215-F': 34, 'KTN-SBS': 1, '211-D': 16, '211-T': 10, '213-A': 4, '211-A': 8, '214-C': 5, '215-B': 34, '215-Z': 20, '211-K': 12, 'KBS-MKD': 2, 'MKD-KBS': 2, '215-K': 56, 'KBS-BCMC': 2, '213-R': 10, '240-F': 13, '211-U': 11, 'D34G-BSK': 7, '213-J': 7, '215-NB': 12, '213-Q': 5, 'BSK-MTRP': 1, 'BSK-RGL': 8, 'KBS-GAT': 8, '211-G': 9, '211-RA': 5, '214-G': 22, '215-N': 25, 'KBS-5H': 24, 'MKT-5H': 24, '213-DA': 7, '213-DB': 7, '217-D': 14, 'BSK-JFM': 4, 'TGPB-HBL': 2, '210-C': 16, 'KMT-GAT': 3, '215-Y': 14, 'GAT-SBS': 3, 'KBS-KNBC': 2, '287-M': 7, '210-B': 16, '213-QA': 8, '214-H': 15, 'BSK-BGTC': 2, '215-U': 8, 'BSK-GDPL': 1, '214-D KMT-TRLE': 8, '215-W': 14, '217-E': 10, '211-DA': 7, '211-R': 10, 'BSK-AGR': 2, 'SNBS-TTG': 2, 'BSK-MKD': 1, 'SNBS-MKD': 1, 'ABLO-KBS': 2, 'BSK-ABL': 10, '213-F': 8, '213-M': 8, 'KBS-BLO': 3, '224-E': 9, 'BSK-AMR': 8, '214-B': 10, 'KBC-GKVK': 2, '245-C': 10, 'BSK-VLS': 4, '214-D': 15, 'BSK-TTG': 2, '245-DA': 6, '211-J': 6, '215-A': 32, 'KBS-BWSR': 1, 'KMT-VDH': 3, 'BSK-MNN': 3, 'KMT-GATM': 2, '211-H': 11, 'KDYL-KBS': 1, '212-B': 7, '213-FA': 9, 'KBS-AVL': 6, '255-C YTTMC-PLH': 1, 'BSK-D34G': 20, 'KMT-BSK-KTNR': 0, '213-D': 6, '214-L': 6, '378-C': 16, '211-B': 12, '212-C': 12, '210-V': 19, 'JLOT-KMT': 2, 'KMT-BSK-KKC-D34G': 0, '215-J': 20, '215-BA': 16, 'ANJP-ITPL': 1, 'D34G -KKC-BSK': 2, 'KBS-HRH-BNGP': 5, '215-R': 12, '219-A GR College': 5, '219-A': 9, 'KBS-BTKL': 2, '211 BSK-AVS': 1, '213-N': 10, '212-D': 11, 'NICE-2': 7, 'KMT-KKC-JSD': 4, 'JSD-KKC-KMT': 4, '201 GBV-BSK': 1, 'ELC-SMPBS': 2, 'BSK-GUBMG': 2, 'GBLG-ITPL': 1, 'VLS-KBS': 2, '215-BB': 20, '213-K': 17, '213-H': 9, '216-A': 10, '213-E': 6, '213-L': 10, 'GPO-GAT': 2, '213-T': 9, 'MF-10': 14, 'MF-10A': 1, 'D34-JSD-KMT': 2, 'BSKTTMC-ANP': 13, 'SPBS-ITPL': 2, 'KBS-SPBS': 1, '214-J': 8, '215-AB': 28, 'KBS-BSK-KTN-JSD': 3, 'KKC-BSK-JBN': 2, '214-E': 20, '215NC': 19, 'SGH-ANP10': 3, '213-W': 7, 'D44G-KKC-KMT': 7, 'D44G-KBS': 6, 'BSK-KKC-ANJP10': 10, 'KBS-D44G': 11, 'KMT-BSK-D44G': 12, 'V-D13-JSD': 2, 'MF-22': 17, 'BSKTTMC-VLS': 1, '214-DA': 12, 'VLS-BSK-KBS': 2, 'BSK-NGA': 1, '410-E': 7, 'MF-21': 36, '211-AA': 20, 'NICE-2A': 4, 'V-215N': 1, '211-M': 6, '211-M BSK-HNLD': 1, '211-N': 12, '211-N BSK-BDD': 2, 'V-BSK-TLGS': 1, 'V-JSD-BSK': 2, 'AS-14': 18, '210-B KBS-KMT-CCG': 3, '213-V': 2, '378-AB': 4, '213 KMT-VETS': 1, '215K-BSK-VETS': 1, 'TGPS-ITPL': 2, 'PLO-VLS': 1, 'NGS-BSK-VLS': 1, '211-Q': 8, 'BEMLB-6': 2, 'BSK-HRH': 7, 'BSK-KGP': 5, '211-E': 11, 'HAL-D06G': 3, '223-A': 12, '211-C': 19, 'BSK-VDH': 2, 'BELGS-8': 2, 'BSK-TGP': 1, '285-B': 26, '212-F': 2, '9998': 0}"
Yelachenahalli,12.89760334,77.57147635,1615,29175011,"{'KBS-KMS': 3, 'VSD-AGR': 1, 'KMT-AGR': 1, 'KBS-AGR': 2, 'BEML B-4': 2, '211-L': 1, '212-M': 13, 'FDR-9': 0, 'BSK-ANP': 1, 'PHS-3': 17, '215-T': 16, '216-B': 12, '215-X': 15, 'KBS-DSCU': 2, 'JBN-DSCU': 1, 'SGH-ABL': 2, 'SGH-UTH': 3, '213-C': 12, 'PPLO-KRM1': 2, 'BSK-BCCL': 1, 'BSK-TRL': 1, '306-B': 8, 'CS-KNKT-D03': 1, 'BSK-SMP': 1, '285-P': 13, '213-P': 8, '215-F': 34, 'KTN-SBS': 1, '211-D': 16, '211-T': 10, '213-A': 4, '211-A': 8, '214-C': 5, '215-B': 34, '215-Z': 20, '211-K': 12, 'KBS-MKD': 2, 'MKD-KBS': 2, '215-K': 56, 'KBS-BCMC': 2, '213-R': 10, '240-F': 13, '211-U': 11, 'D34G-BSK': 7, '213-J': 7, '215-NB': 12, '213-Q': 5, 'BSK-MTRP': 1, 'BSK-RGL': 8, 'KBS-GAT': 8, '211-G': 9, '211-RA': 5, '214-G': 22, '215-N': 25, 'KBS-5H': 24, 'MKT-5H': 24, '213-DA': 7, '213-DB': 7, '217-D': 14, 'BSK-JFM': 4, 'TGPB-HBL': 2, '210-C': 16, 'KMT-GAT': 3, '215-Y': 14, 'GAT-SBS': 3, 'KBS-KNBC': 2, '287-M': 7, '210-B': 16, '213-QA': 8, '214-H': 15, 'BSK-BGTC': 2, 'BSK-GDPL': 1, '214-D KMT-TRLE': 8, '215-W': 14, '217-E': 10, '211-DA': 7, '211-R': 10, 'BSK-AGR': 2, 'SNBS-TTG': 2, 'BSK-MKD': 1, 'SNBS-MKD': 1, 'ABLO-KBS': 2, 'BSK-ABL': 10, '213-F': 8, '213-M': 8, 'KBS-BLO': 3, '224-E': 9, 'BSK-AMR': 8, '214-B': 10, 'KBC-GKVK': 2, '245-C': 10, 'BSK-VLS': 4, '214-D': 15, 'BSK-TTG': 2, '245-DA': 6, '211-J': 6, '215-A': 32, 'KBS-BWSR': 1, 'KMT-VDH': 3, 'BSK-MNN': 3, 'KMT-GATM': 2, '211-H': 11, 'KDYL-KBS': 1, '212-B': 7, '213-FA': 9, 'KBS-AVL': 6, '255-C YTTMC-PLH': 1, 'BSK-D34G': 20, 'KMT-BSK-KTNR': 0, '213-D': 6, '214-L': 6, '378-C': 16, '211-B': 12, '212-C': 12, '210-V': 19, 'JLOT-KMT': 2, 'KMT-BSK-KKC-D34G': 0, '215-J': 20, '215-BA': 16, 'ANJP-ITPL': 1, 'D34G -KKC-BSK': 2, 'KBS-HRH-BNGP': 5, '215-R': 12, '219-A GR College': 5, '219-A': 9, 'KBS-BTKL': 2, '211 BSK-AVS': 1, '213-N': 10, '212-D': 11, 'NICE-2': 7, 'KMT-KKC-JSD': 4, 'JSD-KKC-KMT': 4, '201 GBV-BSK': 1, 'ELC-SMPBS': 2, 'BSK-GUBMG': 2, 'GBLG-ITPL': 1, 'VLS-KBS': 2, '215-BB': 20, '213-K': 17, '213-H': 9, '216-A': 10, '213-E': 6, '213-L': 10, 'GPO-GAT': 2, '213-T': 9, 'MF-10': 14, 'MF-10A': 1, 'D34-JSD-KMT': 2, 'BSKTTMC-ANP': 13, 'SPBS-ITPL': 2, 'KBS-SPBS': 1, '214-J': 8, '215-AB': 28, 'KBS-BSK-KTN-JSD': 3, 'KKC-BSK-JBN': 2, '214-E': 20, '215NC': 19, 'SGH-ANP10': 3, '213-W': 7, 'D44G-KKC-KMT': 7, 'D44G-KBS': 6, 'BSK-KKC-ANJP10': 10, 'KBS-D44G': 11, 'KMT-BSK-D44G': 12, 'V-D13-JSD': 2, 'MF-22': 17, 'BSKTTMC-VLS': 1, '214-DA': 12, 'VLS-BSK-KBS': 2, 'BSK-NGA': 1, '410-E': 7, 'MF-21': 36, '211-AA': 20, 'NICE-2A': 4, 'V-215N': 1, '211-M': 6, '211-M BSK-HNLD': 1, '211-N': 12, '211-N BSK-BDD': 2, 'V-BSK-TLGS': 1, 'V-JSD-BSK': 2, 'AS-14': 18, '210-B KBS-KMT-CCG': 3, '213-V': 2, '378-AB': 4, '213 KMT-VETS': 1, '215K-BSK-VETS': 1, 'TGPS-ITPL': 2, 'PLO-VLS': 1, 'NGS-BSK-VLS': 1, '211-Q': 8, 'BEMLB-6': 2, 'BSK-HRH': 7, 'BSK-KGP': 5, '211-E': 11, 'HAL-D06G': 3, '223-A': 12, '211-C': 19, 'BSK-VDH': 2, 'BELGS-8': 2, 'BSK-TGP': 1, '285-B': 26, '212-F': 2, '9998': 0}"
JP Nagara 15th Cross,12.90714918,77.58563153,722,29175076,"{'PPLO-KRM1': 2, 'MEBP-20': 6, 'KTN-SBS': 1, '502-J': 17, '215-E': 23, '500-DH': 22, '215-Y': 14, 'V-215H': 14, '215-HC': 35, '215-W': 14, 'JPV-2': 16, '201-K': 14, 'MYH-UBL': 1, 'TTC-UBL': 1, '215-MB': 13, 'PPLO-MRBP': 2, '2-B': 17, 'SGH-JPN6': 3, '2-D': 14, 'D34G-JBS-KMT': 5, 'D34G-KBS': 7, 'D34G-JBS': 4, 'KMT-JPN6': 4, '3-C': 13, '19-E': 6, '215-CA': 29, '215-HA': 13, 'D34G-KMT': 4, 'GTG-D34G-KMT': 3, 'V-500BM': 12, 'KBS-CAK': 2, '2-E': 26, 'VSD-KMT-JSD-RLO': 3, '215-C': 42, 'VSD-JPN6': 3, '215-HB': 18, 'SGH-SRKS': 1, 'SRKS-JBS-KBS': 1, '215-CC': 11, '215-H': 56, '60-C': 12, 'JPN6-KMT': 4, 'ANJP10B-JSD-BSK': 3, '60-D': 9, 'KBS-JSD-ANP10B': 3, 'CKMBS-JSD': 2, '201-MD': 30, 'CAPGPS-3': 2, 'K-6': 41, 'ACCB8-21': 4, 'ACCB8-55': 4, 'ADITHI-04': 2, 'VLS-2': 2, '215-CD': 17, 'MF-20': 28, '215-CA JNMS-ANP10': 2, 'D34-JNMS': 2, 'BTP-4': 3, 'JP6-VSD-KBS': 1, 'ACCB8-29': 2, 'ACCB8-26': 2, 'ACCB8-61': 4, 'ACCB8-34': 3, 'MTR-02': 2, 'VCS-ORRCA-110A NGA-ORRCA Intel': 0, 'KIAS-5A': 8, 'VCS-ORRCA-134 SUNH-ORRCA Intel': 0, 'VCS-MEBP-20B SRS-MEBP': 1, 'VCS-ORRCA-127 CHN-ORRCA-Intel ORR': 1, 'V-BRGM-HBL': 1, 'VCS-JFWTC-10 ISRO-JFWTC': 1, 'VCS-ITPB-GM-16 VASN-ITPL': 1, 'ANJP10B-JSD-KBS': 2, 'V-SHJP-15-BSK': 1, 'VCS-ORRCA-204 RKA-ORRCA PTP': 1}"
