Stop Name,Latitude,Longitude,Num trips in stop,Boothcode,Routes with num trips
CQAL,13.01071162,77.59170749,976,29159062,"{'YTTMC-CMN': 1, '287-P': 20, '107-C': 30, '287 SBS-GKVK': 3, 'D14-SBS': 3, '287-A': 45, '287-Q': 36, '111-C': 59, '13-S': 5, 'STP-BSK': 1, '287-F': 14, 'BELGS-51': 2, '108-B': 46, '415-B': 33, '415-G': 18, '415-F': 46, 'KBS-SPHC': 1, 'GPO-KDH': 1, 'KBR-SJHS': 1, '114-E': 8, 'D14-MPG': 1, '415-A': 2, 'KBS-D14': 4, '296-A': 17, 'MBS-6 CVRN-SHKN': 5, '114-A': 63, '114-G': 22, '342-U': 6, 'KMT-TLE-GKVK': 2, '144-K': 23, '258-VC': 13, '288-A': 49, '287-N': 32, 'VSD-KBR': 1, 'MBS-6': 23, 'GNR-EJP': 1, '347-E': 13, '197 JBN-CLP-STP': 2, '415-J': 19, 'KBR-KRM': 1, 'PTH-SBSH': 4, '404-E': 20, '284-G': 8, 'SBS-NES-PTH': 2, 'D06G-STP': 2, 'SBS-STP': 3, 'STP-SBS': 2, 'SPHC-KMT': 1, '285-V': 18, 'SBS-ALS': 0, '284-K': 19, '284-KA': 22, 'SBS-JML-STP': 1, 'D06-STP': 1, '287-K': 12, '415-D': 29, '114-C': 63, '114-B': 42, 'SBS-RTN-VNS': 3, 'ALS-SBDFD': 1, 'SPHSB-STP': 1, '111-C KBS-MDG': 9, 'KBS-LRB': 1, 'SBS-GKVKL': 1, '286-H': 15, '284-K KMT-AGS-JSNL': 1, 'MBS-6 BMT45-CVRN': 1, '288-E': 22}"
JC Nagara Kabir Ashrama,13.00952319,77.59463310,26,29159062,"{'144-K D06G-KVLB': 1, '114 KBS-JCN': 1, '112-A': 24}"
Kabir Ashram JC Nagara,13.01374635,77.59651065,0,29159062,{}
Matadahalli,13.01358366,77.59367287,1027,29159062,"{'YTTMC-CMN': 1, '287-P': 20, '107-C': 30, '287 SBS-GKVK': 3, 'D14-SBS': 3, '287-A': 45, '287-Q': 36, '111-C': 59, 'CS-MTH-IND CALL BUS 41': 1, '13-S': 5, 'STP-BSK': 1, '287-F': 14, 'BELGS-51': 2, '108-B': 46, '415-B': 33, '415-G': 18, '415-F': 46, 'KBS-SPHC': 1, 'GPO-KDH': 1, 'KBR-SJHS': 1, '114-E': 8, 'D14-MPG': 1, '415-A': 2, 'KBS-D14': 4, '380 KMT-KTO': 6, '296-A': 17, 'MBS-6 CVRN-SHKN': 5, '114-A': 63, '114-G': 22, '342-U': 6, '144-K D06G-KVLB': 1, 'KMT-TLE-GKVK': 2, '144-K': 23, '258-VC': 13, '288-A': 49, '287-N': 32, 'VSD-KBR': 1, 'MBS-6': 23, 'GNR-EJP': 1, '347-E': 13, '197 JBN-CLP-STP': 2, '415-J': 19, 'KBR-KRM': 1, 'PTH-SBSH': 4, '404-E': 20, '284-B': 24, '284-G': 8, 'SBS-NES-PTH': 2, 'D06G-STP': 2, 'SBS-STP': 3, 'STP-SBS': 2, 'KRM-KBR': 2, 'SPHC-KMT': 1, '285-V': 18, 'SBS-ALS': 0, '284-K': 19, '284-KA': 22, 'SBS-JML-STP': 1, 'BEMLA-7': 2, 'D06-STP': 1, '287-K': 12, '415-D': 29, '114-C': 63, '114-B': 42, 'SBS-RTN-BMSIT': 1, 'SBS-RTN-VNS': 3, 'ALS-SBDFD': 1, 'KDHL-TECR': 1, 'SPHSB-STP': 1, 'ITPL-2A': 2, '242-R': 9, 'ITPL-2H': 1, '111-C KBS-MDG': 9, 'KBS-LRB': 1, 'SBS-GKVKL': 1, '286-H': 15, '335 RTNP-BEMLF': 1, '284-K KMT-AGS-JSNL': 1, 'MBS-6 BMT45-CVRN': 1, '288-E': 22}"
Modhi Garden Kavakbyrasandra,13.01722563,77.60745842,9,29159062,{'111-C KBS-MDG': 9}
P&T Quarters,13.02150321,77.60457069,291,29159062,"{'RTNPS-ABC': 1, '111-C': 59, 'RTNPS-KBR': 3, 'KVB-NVG': 5, 'RTNPS-SMP': 1, '415-G': 18, 'KBR-SJHS': 1, '415-A': 2, 'HBL-KBR': 1, 'RTNPS-CHCL': 1, '176 KBR-VTTMC': 1, '342-U': 6, '144-K D06G-KVLB': 1, '144-K': 23, 'VSD-KBR': 1, '300-V': 4, '176 CLO-KBR': 3, 'KVBR-HBL-CHSC': 3, 'KBR-KRM': 1, '241-T': 7, 'KRM-KBR': 2, '176-E': 10, '415-D': 29, '176-A': 14, 'KVLB-VNS': 1, 'BVNR-KVBL': 1, '242-R': 9, 'YTTMC-MMLKB': 1, '111-C KBS-MDG': 9, '176-E VTTMC-KBR': 1, '79-B': 27, '256-MB': 6, '112-A': 24, '230-A': 12}"
Sultanpalya Cross Pushpanjali Talkies,13.02206963,77.60235853,699,29159062,"{'YTTMC-CMN': 1, 'RTNPS-ABC': 1, 'RTNPS-VNH': 4, '111-C': 59, '176-C': 25, '13-S': 5, 'STP-BSK': 1, 'RTNPS-KBR': 3, 'KVB-NVG': 5, 'BELGS-51': 2, '415-B': 33, 'RTNPS-SMP': 1, '415-G': 18, '415-F': 46, 'KBS-SPHC': 1, 'KBR-SJHS': 1, 'GKVK-STP': 3, '114-E': 8, '415-A': 2, 'HBL-KBR': 1, 'RTNPS-CHCL': 1, 'STP-HBL': 1, '176 KBR-VTTMC': 1, '296-A': 17, '114-A': 63, '114-G': 22, '342-U': 6, '144-K D06G-KVLB': 1, '144-K': 23, 'VSD-KBR': 1, '300-V': 4, '176-CA': 19, '347-E': 13, '197 JBN-CLP-STP': 2, '176 CLO-KBR': 3, '415-J': 19, 'KVBR-HBL-CHSC': 3, 'KBR-KRM': 1, '241-T': 7, 'D06G-STP': 2, 'SBS-STP': 3, 'STP-SBS': 2, 'SPHC-KMT': 1, '176-E': 10, 'SBS-JML-STP': 1, 'D06-STP': 1, '415-D': 29, '176-A': 14, '114-C': 63, '114-B': 42, 'KVLB-VNS': 1, 'BVNR-KVBL': 1, 'STP-HBL-VNS': 1, 'SPHSB-STP': 1, 'HBLB-SPHCN': 1, '242-R': 9, 'YTTMC-MMLKB': 1, '111-C KBS-MDG': 9, '176-E VTTMC-KBR': 1, 'KBS-LRB': 1, '297 STP-AFSY': 2, '79-B': 27, '256-MB': 6, 'MRPL-BELC': 0, '112-A': 24, 'RTNPS-STP': 4, '230-A': 12}"
Thimmayya Garden,13.01824626,77.59872257,24,29159062,{'112-A': 24}
Byadarahalli Jayamahal,13.00116812,77.60973930,16,29159156,{'210-X': 16}
Clarence School,13.00226912,77.61665130,1946,29159156,"{'327-C': 14, '301-E': 39, '300-E': 55, '300-D': 37, '300-H': 48, 'SBS-D10G': 31, '295-D': 21, 'KBS-D10G': 8, '302-C': 11, '293-P': 12, '296-V': 13, 'D10G-MRG': 2, 'G-11': 35, '296-C': 18, 'KLN-LGP-SBS': 14, '292-E': 12, 'D10G-SBS': 6, '292-C': 30, '401-M NLO-CLO': 1, '302-J': 29, '300-B': 29, 'KBS-HNR-CHLS': 3, '302-GA': 19, '303-F': 21, 'MGMS-KLN': 2, '292-D': 17, '293-H': 19, '292-B': 12, '293-A': 16, '79-K': 13, 'SBS-KLN': 27, '294-F': 9, '294-B': 0, '300-DA': 15, '294-E': 18, '294-H': 26, 'KBS-KLN': 6, '295-A': 14, '296-N': 17, '293-R': 13, '293-S': 32, '300-T': 11, '293-K': 13, '296-A': 17, '296-B': 19, '296-D': 26, '296-K': 4, '293-F': 11, 'SBS-HNS': 3, '293-J': 11, 'SBS-RYL': 2, '327-D': 5, '295-C': 34, '300-A': 14, '295-E': 12, '295-B': 15, '295-G': 17, 'KBS-BSP-HMA': 1, 'SBS-BSP-HMA': 3, '294-A': 11, '293-B': 11, '294-C SBS-JTN': 32, 'SBS-CHLS': 2, '296-T': 17, 'KBS-LGP-CHLS': 1, 'SGH-SBS': 2, 'G-11 SNBS-BLR': 1, '301-F': 6, '300-P': 46, '300-E SBS-KTMLRG': 2, 'KMT-BLS-YPB': 1, '300-C': 19, 'SBS-BPS-KLK': 2, 'VSD-BSP-KLK': 1, '293-G': 30, '215-NB': 12, 'D10G-SOPHIA': 1, 'BMESU-HBL': 4, '242-GA KBS-EWC': 2, '302-D': 35, '300-K': 13, '348-H': 12, '302-N': 38, 'KMT-CHLS': 0, 'KLNB-LGP-BSK': 3, '276-AB BMT45-DBH': 1, '293-N': 15, '300-F': 17, '296-Q': 23, '302 SBS-KLN': 3, '80-F': 35, '302 VSD-KLN': 4, '293-C OASIS-KMT': 1, 'KBS-BDSN': 4, '302-F': 39, 'SJHS-LGP-HBL': 3, '296-F': 10, 'KLNB-LGP-KBS': 2, 'MF-4': 15, '303-E': 32, '302-B': 40, '293-C': 32, '302-E': 14, '303-C': 24, '293-D': 12, '293-M': 11, '296-M': 6, '293-L': 11, '314-N': 26, 'BMT10-NRG': 1, 'KBS-SDSH': 1, 'HMNL-SJHS': 1, 'BMES-SBS': 3, 'KLNB-LGP-SBSP': 1, 'KLNB-LGP-SSMT': 1, 'SBS-SVPSH': 1, 'SBS-SMHSL': 3, '293 KBS-SMHS': 2, 'SBS-SVPSL': 2, 'SOPHIYA-1': 2, '296 SBS-BMESL': 1, 'BCGHS-18': 2, 'VNS-03': 3, '302 BMT10-SBS': 2, '293-E': 10, 'OASIS-2B': 2, 'D24-TNF-WTP': 1, 'KBS-SVPSB': 1, '295-D SBS-BMT10': 1, '302-A': 20, 'GDWC-BGL': 1, '129 KBS-BNWRS': 1, '293 SBS-HMN': 7, '293 SBS-LGP-KLN': 4, '330 SBS-ABISRO': 2, '301-D': 18, '301-G': 17, '303-G': 29, '302-G': 19, '293G SBS-BMT48': 16, '293F KMT-BMT48': 6, '293S KBS-BMT48': 6, 'ARMY-3': 3, 'D10G-BMES': 1, '293 BMT10-ARMY': 2, '295-KMT-D48': 2, '300-H  KBS-ITICG': 3, '294-C BMT48-MGMS': 1, 'CRISTAL-3': 1, 'G11-BMT48-MGMS': 2, '294-D': 12, '290-E ITCF-YHKOT': 0, '500-A CSB-SJHSU': 3, '293-S KBS-HNS': 2, 'HALM-SBS-BMES': 1, 'SVM-SBS-BMES': 1, '301-A': 12, 'AMRY-2': 4}"
