Stop Name,Latitude,Longitude,Num trips in stop,Boothcode,Routes with num trips
Banashankari 5th Stage,12.90217343,77.52798289,37,29176053,"{'210-NB': 26, '210-ND': 11}"
Channasandra Patalamma Temple,12.90481156,77.53011235,310,29176053,"{'374-F': 12, 'D21G-CKLS': 2, 'BEML5-BSK': 2, '510-A': 30, '373-M': 15, '15-E D21G-KML': 3, 'CHAKRA-3A': 27, 'D21G-JSD': 1, '600-F D21G-ATB': 8, 'BEML5-ATB': 7, 'JVS-BSK': 5, '378 BSN-ELC': 3, '378 KGR-ELCW': 2, '378 BEML5-ELC': 2, '210-WA BEML5-KBS': 2, '378-A': 21, '378 KST-ELC': 1, 'KGR-UTH-BSK-KDG': 4, 'V-500KR': 16, '375-G': 24, '210-UB BEML5-KMLW': 1, '401-C': 8, '378 MTR-ELC': 9, '210-UB BEML5-KBS': 2, 'BEML5-ELCW': 1, 'KGR-UTH-KDG': 6, '210-N BEML5-KBS': 2, '375-D BABASP-BSK': 1, 'HVH-BSK': 2, '375-D': 80, '375-D BSN-BSK': 2, '378 KGR-KKC': 1, 'KGR-BNP': 5, '375-D BEML5-BTML': 1, '201 GBV-BSK': 1, 'V-BEML-KDG': 1}"
Dwaraka Layout Channasandra,12.89994945,77.52331316,13,29176053,{'225 KMT-BSK6': 13}
Mantri Alpyne Apartment,12.90454506,77.52739146,81,29176053,"{'375-D': 80, '201 GBV-BSK': 1}"
Paaduka Mandira Turahalli,12.89615577,77.53163874,11,29176053,{'210-ND': 11}
Thuralli,12.89750487,77.53882974,11,29176053,"{'401-B PTH-VRP-TDL': 0, '210-WA': 11}"
BME-2 NICE Road Nayandahalli,12.89334248,77.51351774,16,29176108,"{'NICE-3A': 5, 'NICE-4': 6, 'V-600NL': 2, 'V-600NB': 3}"
Dwaraka Layout Channasandra,12.89994945,77.52331316,13,29176108,{'225 KMT-BSK6': 13}
Karishma Hills,12.88854136,77.53615625,34,29176108,"{'210-W': 18, '210-C': 16}"
Kariyanapalya,12.89186459,77.52127469,44,29176108,"{'210-W': 18, '225-F': 26}"
Paaduka Mandira Turahalli,12.89615577,77.53163874,11,29176108,{'210-ND': 11}
Pratyangira Temple Turalli,12.89231760,77.53655881,0,29176108,{'401-B PTH-VRP-TDL': 0}
Thuralli,12.89750487,77.53882974,11,29176108,"{'401-B PTH-VRP-TDL': 0, '210-WA': 11}"
Karishma Hills,12.88854136,77.53615625,34,29176125,"{'210-W': 18, '210-C': 16}"
Kariyanapalya,12.89186459,77.52127469,44,29176125,"{'210-W': 18, '225-F': 26}"
KSIT College Raghuvanahalli,12.87980643,77.54444093,0,29176125,{}
Paaduka Mandira Turahalli,12.89615577,77.53163874,11,29176125,{'210-ND': 11}
Pratyangira Temple Turalli,12.89231760,77.53655881,0,29176125,{'401-B PTH-VRP-TDL': 0}
